ID,Name,Nationality,Club,Position,Age,Overall,Predicted_Overall,Residual
158023,L. Messi,Argentina,FC Barcelona,RF,31,94,92.33000183105467,1.67
20801,Cristiano Ronaldo,Portugal,Juventus,ST,33,94,93.75,0.25
190871,Neymar Jr,Brazil,Paris Saint-Germain,LW,26,92,91.86000061035156,0.14
193080,De Gea,Spain,Manchester United,GK,27,91,90.04000091552734,0.96
192985,K. De Bruyne,Belgium,Manchester City,RCM,27,91,90.94000244140624,0.06
183277,E. Hazard,Belgium,Chelsea,LF,27,91,91.08000183105467,-0.08
177003,L. Modrić,Croatia,Real Madrid,RCM,32,91,90.9800033569336,0.02
176580,L. Suárez,Uruguay,FC Barcelona,RS,31,91,91.11000061035156,-0.11
155862,Sergio Ramos,Spain,Real Madrid,RCB,32,91,89.94999694824219,1.05
200389,J. Oblak,Slovenia,Atlético Madrid,GK,25,90,89.81999969482422,0.18
188545,R. Lewandowski,Poland,FC Bayern München,ST,29,90,89.81999969482422,0.18
182521,T. Kroos,Germany,Real Madrid,LCM,28,90,89.94999694824219,0.05
182493,D. Godín,Uruguay,Atlético Madrid,CB,32,90,89.8499984741211,0.15
168542,David Silva,Spain,Manchester City,LCM,32,90,89.98999786376953,0.01
215914,N. Kanté,France,Chelsea,LDM,27,89,88.91000366210938,0.09
211110,P. Dybala,Argentina,Juventus,LF,24,89,88.9800033569336,0.02
202126,H. Kane,England,Tottenham Hotspur,ST,24,89,89.01000213623047,-0.01
194765,A. Griezmann,France,Atlético Madrid,CAM,27,89,89.1500015258789,-0.15
192448,M. ter Stegen,Germany,FC Barcelona,GK,26,89,88.95999908447266,0.04
192119,T. Courtois,Belgium,Real Madrid,GK,26,89,87.98999786376953,1.01
189511,Sergio Busquets,Spain,FC Barcelona,CDM,29,89,88.91999816894531,0.08
179813,E. Cavani,Uruguay,Paris Saint-Germain,LS,31,89,88.91000366210938,0.09
167495,M. Neuer,Germany,FC Bayern München,GK,32,89,88.97000122070312,0.03
153079,S. Agüero,Argentina,Manchester City,ST,30,89,88.97000122070312,0.03
138956,G. Chiellini,Italy,Juventus,LCB,33,89,88.86000061035156,0.14
231747,K. Mbappé,France,Paris Saint-Germain,RM,19,88,88.01000213623047,-0.01
209331,M. Salah,Egypt,Liverpool,RM,26,88,88.19999694824219,-0.2
200145,Casemiro,Brazil,Real Madrid,CDM,26,88,88.08000183105469,-0.08
198710,J. Rodríguez,Colombia,FC Bayern München,LAM,26,88,88.13999938964844,-0.14
198219,L. Insigne,Italy,Napoli,LW,27,88,87.88999938964844,0.11
197781,Isco,Spain,Real Madrid,LW,26,88,86.94999694824219,1.05
190460,C. Eriksen,Denmark,Tottenham Hotspur,CAM,26,88,88.58999633789062,-0.59
189242,Coutinho,Brazil,FC Barcelona,LW,26,88,88.05000305175781,-0.05
188567,P. Aubameyang,Gabon,Arsenal,LM,29,88,88.04000091552734,-0.04
178603,M. Hummels,Germany,FC Bayern München,LCB,29,88,87.95999908447266,0.04
176676,Marcelo,Brazil,Real Madrid,LB,30,88,87.68000030517578,0.32
173731,G. Bale,Wales,Real Madrid,ST,28,88,88.05000305175781,-0.05
167948,H. Lloris,France,Tottenham Hotspur,GK,31,88,88.0,0.0
167664,G. Higuaín,Argentina,Milan,LS,30,88,88.0199966430664,-0.02
164240,Thiago Silva,Brazil,Paris Saint-Germain,RCB,33,88,87.95999908447266,0.04
162835,S. Handanovič,Slovenia,Inter,GK,33,88,87.94999694824219,0.05
1179,G. Buffon,Italy,Paris Saint-Germain,GK,40,88,82.87999725341797,5.12
205600,S. Umtiti,France,FC Barcelona,CB,24,87,86.94000244140625,0.06
201399,M. Icardi,Argentina,Inter,ST,25,87,87.02999877929688,-0.03
201024,K. Koulibaly,Senegal,Napoli,LCB,27,87,86.94000244140625,0.06
195864,P. Pogba,France,Manchester United,RDM,25,87,87.05999755859375,-0.06
193041,K. Navas,Costa Rica,Real Madrid,GK,31,87,86.76000213623047,0.24
192505,R. Lukaku,Belgium,Manchester United,ST,25,87,87.58999633789062,-0.59
192387,C. Immobile,Italy,Lazio,ST,28,87,86.75,0.25
189332,Jordi Alba,Spain,FC Barcelona,LB,29,87,86.77999877929688,0.22
175943,D. Mertens,Belgium,Napoli,RF,31,87,87.01000213623047,-0.01
172871,J. Vertonghen,Belgium,Tottenham Hotspur,LCB,31,87,86.86000061035156,0.14
171877,M. Hamšík,Slovakia,Napoli,LCM,30,87,86.8499984741211,0.15
168651,I. Rakitić,Croatia,FC Barcelona,RCM,30,87,86.81999969482422,0.18
152729,Piqué,Spain,FC Barcelona,RCB,31,87,87.26000213623047,-0.26
222492,L. Sané,Germany,Manchester City,LW,22,86,85.86000061035156,0.14
218667,Bernardo Silva,Portugal,Manchester City,RW,23,86,85.68000030517578,0.32
210257,Ederson,Brazil,Manchester City,GK,24,86,85.23999786376953,0.76
